Ratings,Food Types
4,DANA KIZARTMA
0.2,HAVUÇ-TURP SALATASI
0.6,KIYMALI KAPUSKA
4,FIRIN BALIK
4,ÇOBAN KAVURMA
0.2,ERZİNCAN ÇORBASI
3,İÇLİ KÖFTE
0.3,PATATES SALATASI
0.5,KIYMALI PIRASA
1.5,TRİLEÇE
4,BALIK PANE
1.5,MEYHANE PİLAVI
2.2,KADAYIFLI MUHALLEBİ
0.1,ZEYTİNYAĞLI ENGİNAR
1.5,HAVUÇLU TARÇINLI KEK
2.25,BROWNİ
3,BÖFSTROGONOF
1.5,ŞÖBİYET
2.5,MANTARLI PİLİÇ KAVURMA
3.5,HARPUT KÖFTE
3.7,DANA ROSTO
3.0,KADAYIFLI KÖFTE
0.3,YOĞURTLU ISPANAK
2.0,BİSKÜVİLİ PASTA
3.8,DANA EMENSE
4.0,ÇİN USULÜ TAVUK
4.0,ÇITIR TAVUK
3.6,MANİSA KÖFTE
1.0,CEVİZLİ KABAK TATLISI
3.7,ET SOTE
2.0,MOZAİK PASTA
1.5,LOKMA TATLISI
